node_id,vehicle_serial,date,time,POI,service,interval
2038,PC3940L,2017-09-5,2017-09-5T7:15:09.000Z,Prince George's Park Terminal,A1,4.92
2052,PC4032B,2017-09-5,2017-09-5T7:15:38.000Z,Prince George's Park Terminal,A2,7.0
2038,PC3940L,2017-09-5,2017-09-5T7:16:06.000Z,Kent Ridge MRT,A1,15.0
2052,PC4032B,2017-09-5,2017-09-5T7:16:12.000Z,PGP Hse No. 14 and 15,A2,7.93
2052,PC4032B,2017-09-5,2017-09-5T7:16:25.000Z,PGP Hse No. 12,A2,7.62
2052,PC4032B,2017-09-5,2017-09-5T7:17:30.000Z,Opp HSSML,A2,6.0
2052,PC4032B,2017-09-5,2017-09-5T7:18:08.000Z,COM 2 (CP13),A2,5.88
2052,PC4032B,2017-09-5,2017-09-5T7:18:31.000Z,Opp NUSS,A2,5.92
2079,PC3849T,2017-09-5,2017-09-5T7:18:45.000Z,Prince George's Park Terminal,D2,5.0
2079,PC3849T,2017-09-5,2017-09-5T7:19:13.000Z,PGPR,D2,6.0
2052,PC4032B,2017-09-5,2017-09-5T7:19:16.000Z,Computer Centre,A2,2.0
2028,PA9442D,2017-09-5,2017-09-5T7:19:25.000Z,Kent Ridge Bus Terminal,C*,14.48
2038,PC3940L,2017-09-5,2017-09-5T7:19:37.000Z,LT29,A1,19.67
2079,PC3849T,2017-09-5,2017-09-5T7:19:41.000Z,Kent Ridge MRT,D2,1.0
2038,PC3940L,2017-09-5,2017-09-5T7:20:27.000Z,Prince George's Park Terminal,A1,12.0
2028,PA9442D,2017-09-5,2017-09-5T7:20:33.000Z,Kent Vale,C*,17.5
2032,PC3876P,2017-09-5,2017-09-5T7:21:02.000Z,Central Library,B1,6.0
2052,PC4032B,2017-09-5,2017-09-5T7:21:03.000Z,Ventus (Opp LT13),A2,7.9
2032,PC3876P,2017-09-5,2017-09-5T7:21:05.000Z,Computer Centre,B1,5.0
2028,PA9442D,2017-09-5,2017-09-5T7:21:07.000Z,EA,C*,8.87
2038,PC3940L,2017-09-5,2017-09-5T7:21:14.000Z,UHall,A1,20.0
2032,PC3876P,2017-09-5,2017-09-5T7:21:29.000Z,Opp YIH,B1,0.35
2050,PA33K,2017-09-5,2017-09-5T7:21:31.000Z,Opp HSSML,D1,6.0
2052,PC4032B,2017-09-5,2017-09-5T7:21:35.000Z,Computer Centre,A2,5.3
2079,PC3849T,2017-09-5,2017-09-5T7:21:35.000Z,Opp Kent Ridge MRT,D2,4.25
2050,PA33K,2017-09-5,2017-09-5T7:21:42.000Z,COM 2 (CP13),D1,4.33
2032,PC3876P,2017-09-5,2017-09-5T7:21:47.000Z,YIH,B1,0.0
2052,PC4032B,2017-09-5,2017-09-5T7:21:52.000Z,Opp YIH,A2,0.0
2032,PC3876P,2017-09-5,2017-09-5T7:22:07.000Z,Opp YIH,B1,3.0
2050,PA33K,2017-09-5,2017-09-5T7:22:14.000Z,Opp NUSS,D1,4.0
2038,PC3940L,2017-09-5,2017-09-5T7:22:15.000Z,Opp University Health Centre,A1,19.78
2052,PC4032B,2017-09-5,2017-09-5T7:22:21.000Z,Opp YIH,A2,1.0
2032,PC3876P,2017-09-5,2017-09-5T7:22:22.000Z,YIH,B1,2.82
2052,PC4032B,2017-09-5,2017-09-5T7:22:26.000Z,Museum,A2,0.0
2032,PC3876P,2017-09-5,2017-09-5T7:22:27.000Z,University Town,B1,0.0
2050,PA33K,2017-09-5,2017-09-5T7:22:28.000Z,AS7,D1,3.4
2038,PC3940L,2017-09-5,2017-09-5T7:22:47.000Z,YIH,A1,20.0
2052,PC4032B,2017-09-5,2017-09-5T7:22:52.000Z,Museum,A2,8.0
2050,PA33K,2017-09-5,2017-09-5T7:23:06.000Z,Computer Centre,D1,3.98
2129,PC3867R,2017-09-5,2017-09-5T7:23:25.000Z,Prince George's Park Terminal,A2,5.82
2052,PC4032B,2017-09-5,2017-09-5T7:23:30.000Z,Opp YIH,A2,7.55
2023,PC3983M,2017-09-5,2017-09-5T7:24:01.000Z,Kent Ridge Bus Terminal,BTC1,37.62
2079,PC3849T,2017-09-5,2017-09-5T7:24:10.000Z,S17,D2,5.0
2032,PC3876P,2017-09-5,2017-09-5T7:24:11.000Z,University Town,B1,0.25
2052,PC4032B,2017-09-5,2017-09-5T7:24:12.000Z,University Health Centre,A2,9.0
2038,PC3940L,2017-09-5,2017-09-5T7:24:23.000Z,Central Library,A1,19.9
2079,PC3849T,2017-09-5,2017-09-5T7:24:38.000Z,LT29,D2,4.0
2052,PC4032B,2017-09-5,2017-09-5T7:24:44.000Z,Opp UHall,A2,9.0
2028,PA9442D,2017-09-5,2017-09-5T7:24:45.000Z,Raffles Hall,C*,7.98
2043,PC4038K,2017-09-5,2017-09-5T7:24:50.000Z,Prince George's Park Terminal,D2,5.0
2129,PC3867R,2017-09-5,2017-09-5T7:24:52.000Z,Opp HSSML,A2,5.58
2023,PC3983M,2017-09-5,2017-09-5T7:24:57.000Z,Kent Vale,BTC1,38.0
2032,PC3876P,2017-09-5,2017-09-5T7:25:03.000Z,University Town,B1,18.0
2028,PA9442D,2017-09-5,2017-09-5T7:25:09.000Z,Museum,C*,7.0
2032,PC3876P,2017-09-5,2017-09-5T7:25:15.000Z,YIH,B1,16.0
2032,PC3876P,2017-09-5,2017-09-5T7:25:24.000Z,Opp YIH,B1,15.75
2050,PA33K,2017-09-5,2017-09-5T7:25:42.000Z,LT13,D1,5.0
2052,PC4032B,2017-09-5,2017-09-5T7:25:43.000Z,S17,A2,9.0
2043,PC4038K,2017-09-5,2017-09-5T7:25:44.000Z,Kent Ridge MRT,D2,1.65
2129,PC3867R,2017-09-5,2017-09-5T7:25:51.000Z,COM 2 (CP13),A2,4.0
2038,PC3940L,2017-09-5,2017-09-5T7:25:59.000Z,LT13,A1,19.82
2050,PA33K,2017-09-5,2017-09-5T7:26:02.000Z,Ventus (Opp LT13),D1,4.72
2028,PA9442D,2017-09-5,2017-09-5T7:26:10.000Z,Opp University Health Centre,C*,5.57
2129,PC3867R,2017-09-5,2017-09-5T7:26:18.000Z,Opp NUSS,A2,0.9
2079,PC3849T,2017-09-5,2017-09-5T7:26:19.000Z,Opp UHall,D2,4.68
2028,PA9442D,2017-09-5,2017-09-5T7:26:30.000Z,University Health Centre,C*,4.0
2032,PC3876P,2017-09-5,2017-09-5T7:26:31.000Z,Computer Centre,B1,14.0
2052,PC4032B,2017-09-5,2017-09-5T7:26:35.000Z,Opp Kent Ridge MRT,A2,8.0
2038,PC3940L,2017-09-5,2017-09-5T7:26:43.000Z,AS7,A1,2.0
